url_path,views_total,views_unique
/shawnhe/resumeTailor,23,6
/shawnhe/resumeTailor/blob/main/agents/resume-tailor-generic.md,6,2
/shawnhe/resumeTailor/network,4,2
/shawnhe/resumeTailor/pulse,4,2
/shawnhe/resumeTailor/tree/github-repo-stats,4,2
/shawnhe/resumeTailor/graphs/traffic,4,1
/shawnhe/resumeTailor/blob/github-repo-stats/shawnhe/resumeTailor/latest-report/report.pdf,2,2
/shawnhe/resumeTailor/tree/github-repo-stats/shawnhe/resumeTailor,2,2
/shawnhe/resumeTailor/tree/github-repo-stats/shawnhe/resumeTailor/latest-report,2,2
/shawnhe/resumeTailor/blob/main/docs/USAGE_GUIDE.md,2,1
