url_path,views_total,views_unique
/shawnhe/resumeTailor,64,40
/shawnhe/resumeTailor/tree/main,7,3
/shawnhe/resumeTailor/graphs/traffic,6,1
/shawnhe/resumeTailor/blob/main/agents/resume-tailor-generic.md,4,4
/shawnhe/resumeTailor/blob/main/docs/TAILORING_RULES.md,4,4
/shawnhe/resumeTailor/tree/main/agents,3,3
/shawnhe/resumeTailor/blob/main/CODE_REVIEW.md,3,2
/shawnhe/resumeTailor/blob/main/OPENAI_USAGE.md,3,2
/shawnhe/resumeTailor/tree/main/docs,3,1
/shawnhe/resumeTailor/tree/main/.github,2,2
