url_path,views_total,views_unique
/shawnhe/resumeTailor,39,12
/shawnhe/resumeTailor/pulse,5,2
/shawnhe/resumeTailor/graphs/traffic,4,1
/shawnhe/resumeTailor/tree/github-repo-stats,3,1
/shawnhe/resumeTailor/blob/main/CONTRIBUTING.md,2,2
/shawnhe/resumeTailor/network,2,2
/shawnhe/resumeTailor/actions/runs/32607517797,1,1
/shawnhe/resumeTailor/actions/workflows/repo-stats.yml,1,1
/shawnhe/resumeTailor/blob/github-repo-stats/.github/workflows/repo-stats.yml,1,1
/shawnhe/resumeTailor/blob/github-repo-stats/shawnhe/resumeTailor/ghrs-data/views_clones_aggregate.csv,1,1
